DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6290,P6290S1,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,CLASE,DPTO,fex_c_2011
638637,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,228.433.111.831.918
638639,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,220.144.255.922.087
638639,1,2,50,2,4,,2,2,2,2,,,1,4,,2,,2,,,2,25,220.144.255.922.087
638639,1,3,50,2,4,,2,2,2,2,,,1,6,,1,2,,,,2,25,220.144.255.922.087
638639,1,4,50,2,6,JUGAR,2,2,2,2,,,2,,,,,,,,2,25,220.144.255.922.087
638640,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,228.433.111.831.918
638642,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,158.037.441.879.026
638642,1,2,50,2,1,,,,,,,,,,,,,,,,2,25,158.037.441.879.026
638644,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,22.797.938.713.896
638644,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,22.797.938.713.896
638644,1,3,50,2,3,,2,2,2,1,1,,,,,,,,,1,2,25,22.797.938.713.896
638644,1,4,50,4,3,,2,2,2,2,,,1,12,,,,,,,2,25,22.797.938.713.896
638644,1,5,50,2,3,,2,2,2,2,,,1,12,,,,,,,2,25,22.797.938.713.896
638646,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,212.309.124.705.214
638646,1,2,50,1,3,,1,,,,,,,,,,,,,,2,25,212.309.124.705.214
638646,1,3,50,1,3,,2,2,2,2,,,2,,,,,,,,2,25,212.309.124.705.214
638649,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,18.661.985.711.476
638649,1,2,50,2,4,,2,2,2,2,,,1,10,,,,,,,2,25,18.661.985.711.476
638649,1,3,50,3,1,,,,,,,,,,,,,,,,2,25,18.661.985.711.476
638649,1,4,50,4,4,,2,2,2,2,,,1,10,,,,,,,2,25,18.661.985.711.476
638654,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,143.556.915.693.938
638654,1,2,50,2,1,,,,,,,,,,,,,,,,2,25,143.556.915.693.938
638655,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,35.734.514.326.043
638655,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,35.734.514.326.043
638658,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,319.730.977.133.431
638666,1,1,50,1,4,,1,,,,,,,,,,,,,,2,25,222.891.595.026.181
638666,1,2,50,1,3,,2,2,2,2,,,2,,,,,,,,2,25,222.891.595.026.181
638668,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,145.084.827.523.685
638668,1,2,50,2,4,,2,2,2,2,,,1,2,,2,,2,,,2,25,145.084.827.523.685
638668,1,3,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,145.084.827.523.685
638668,1,4,50,4,2,,2,2,2,1,3,,,,,,,,,1,2,25,145.084.827.523.685
638668,1,5,50,4,3,,2,2,2,2,,,2,,,,,,,,2,25,145.084.827.523.685
638673,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,119.507.791.076.443
638673,1,2,50,2,1,,,,,,,,,,,,,,,,2,25,119.507.791.076.443
638675,1,1,50,1,4,,2,2,2,2,,,2,,,,,,,,2,25,136.257.488.170.178
638675,1,2,50,1,1,,,,,,,,,,,,,,,,2,25,136.257.488.170.178
638677,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,254.530.793.883.121
638677,1,2,50,2,4,,1,,,,,,,,,,,,,,2,25,254.530.793.883.121
638677,1,3,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,254.530.793.883.121
638679,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,136.872.501.237.091
638679,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,136.872.501.237.091
638679,1,3,50,3,1,,,,,,,,,,,,,,,,2,25,136.872.501.237.091
638679,1,4,50,4,1,,,,,,,,,,,,,,,,2,25,136.872.501.237.091
638681,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,184.411.730.986.055
638681,1,2,50,2,4,,2,2,1,,,,,,,,,,,,2,25,184.411.730.986.055
638681,1,3,50,2,1,,,,,,,,,,,,,,,,2,25,184.411.730.986.055
638681,1,4,50,4,3,,2,2,2,2,,,2,,,,,,,,2,25,184.411.730.986.055
638684,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,327.791.066.561.151
638684,1,2,50,2,4,,1,,,,,,,,,,,,,,2,25,327.791.066.561.151
638695,1,1,50,1,4,,2,2,2,2,,,2,,,,,,,,2,25,119.507.791.076.443
638695,1,2,50,2,4,,1,,,,,,,,,,,,,,2,25,119.507.791.076.443
638695,1,3,50,2,1,,,,,,,,,,,,,,,,2,25,119.507.791.076.443
638696,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,206.382.850.948.822
638701,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,319.730.977.133.431
638702,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,278.489.912.226.698
