Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;Dpto;Fex_c_2011
3362065;1;1;1;10;1;2;1;7;1978;35;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;12;73;6151,8313456569
3362065;1;2;1;10;2;1;1;3;1996;17;3;1;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;12;73;6151,8313456569
3362065;1;3;1;10;3;2;1;5;1998;15;5;1;1; ; ;3; ; ;2;1;2; ;4;9; ;2;9;12;73;6151,8313456569
3362065;1;4;1;10;1;2;1;7;2000;13;9;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;73;6151,8313456569
3362067;1;1;1;10;1;2;1;7;1966;47;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;73;4740,68257170814
3362067;1;2;1;10;2;1;1;7;1956;57;2;2;1; ; ;3; ; ;1;1;2; ;3;5; ;2;5;12;73;4740,68257170814
3362067;1;3;1;10;1;2;1;4;2001;12;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;12;73;4740,68257170814
3362068;1;1;1;10;1;2;1;11;1981;32;1;2;1; ; ;3; ; ;2;1;2; ;4;9; ;2;9;12;73;4020,89352416191
3362068;1;2;1;10;2;1;1;3;1972;41;2;2;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;12;73;4020,89352416191
3362068;1;3;1;10;1;1;1;9;2000;13;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;12;73;4020,89352416191
3362069;1;1;1;10;1;1;1;5;1946;67;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;12;73;4412,42515378779
3362069;1;2;1;10;2;2;1;5;1944;69;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;12;73;4412,42515378779
3362092;1;1;1;10;1;1;1;2;1952;61;1;4;2;1;12; ; ; ;1;2;2; ;1;0; ;2;0;12;73;5669,08079354222
3362093;1;1;1;10;1;1;1;4;1980;33;1;4;1; ; ;1;1;25000;2;1;2; ;4;7; ;2;7;12;73;5362,49943396351
3362094;1;1;1;10;1;1;1;4;1970;43;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;73;4020,89352416191
3362094;1;2;1;10;2;2;1;7;1970;43;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;12;73;4020,89352416191
3362094;1;3;1;10;2;1;1;11;1998;15;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;12;73;4020,89352416191
