DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;fex_c_2011;AREA
4048843;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;831,644263081089;05
4048843;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;831,644263081089;05
4048843;1;3;1;50;1; ; ;3;3; ;1; ; ; ; ; ; ; ; ; ; ; ;05;1;05;831,644263081089;05
4048843;1;4;1;50;1; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;831,644263081089;05
4048844;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1060,70857922866;05
4048844;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1060,70857922866;05
4048845;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;880,213337453449;05
4048845;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;880,213337453449;05
4048845;1;3;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;880,213337453449;05
4048847;1;1;1;50;1; ; ;1;6;CAMINAR;1; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1258,85091582043;05
4048848;1;1;1;50;1; ; ;1;6;CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1258,85091582043;05
4048849;1;1;1;50;1; ; ;1;6;CAMINAR HACER VUELTAS;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1245,37961817836;05
4048849;1;2;1;50;1; ; ;3;6;ANDAR LA CALLE;2;2;2;2;1;2; ;1;1; ;2;1;05;1;05;1245,37961817836;05
4048849;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1245,37961817836;05
4048850;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;893,830680058273;05
4048850;1;2;1;50;1; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;893,830680058273;05
4048851;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1102,68537652929;05
4048851;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1102,68537652929;05
4048852;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1095,66031099619;05
4048852;1;2;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1095,66031099619;05
4048853;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1123,38435846754;05
4048854;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;887,965855802537;05
4048854;1;2;1;50;1; ; ;2;6;CAMINAR GIMNASIA VER TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;887,965855802537;05
4048854;1;3;1;50;1; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;887,965855802537;05
4048854;1;4;1;50;1;2; ;4;2; ;2;2;2;1; ; ; ; ; ; ; ;1;05;1;05;887,965855802537;05
4048854;1;5;1;50;1; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;887,965855802537;05
